ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
30,0,0,30:0:0,-4.51308,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC(O[H])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],True
30,0,1,30:0:1,-4.21552,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC(O[H])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],False
30,0,2,30:0:2,-4.0763,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC(O[H])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],False
30,1,0,30:1:0,-4.19102,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC([O-])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],True
30,1,1,30:1:1,-3.73646,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC([O-])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],False
30,1,2,30:1:2,-3.22168,[H]OC1([H])OC2(C([H])([H])[H])C([H])(O[H])C([H])(O[H])C34C5(OC([O-])(O5)C5(O[H])C(=O)C([H])(C([H])([H])[H])C5(O[H])C(O[H])(C([H])([H])[H])C13[H])C([H])(O[H])C1(O[H])C(=O)C(C([H])([H])[H])=C([H])C1([H])C4([H])S(=O)C([H])([H])C1([H])OC12O[H],False
34,0,0,34:0:0,-2.20802,[H]OC1([H])C2([H])C([H])([H])OC3(O[H])C([H])([H])C([H])([H])C4([H])C5([H])S(=O)C(C([H])([H])[H])(C([H])([H])[H])C6([H])C([H])([H])C([H])([H])C7(C([H])([H])[H])C([H])([H])C8([H])C([H])([H])C([H])([H])C9(C([H])([H])[H])C([H])([H])OC([H])(OC2(OC([H])([H])[H])C([H])([H])[H])C4(OC9(O[H])C8([H])OC2([H])C([H])([H])C([H])(c4c([H])oc([H])c4[H])C(C([H])([H])[H])(C2([H])[H])C13C([H])([H])[H])C56C7([H])[H],True
34,0,1,34:0:1,-1.75701,[H]OC1([H])C2([H])C([H])([H])OC3(O[H])C([H])([H])C([H])([H])C4([H])C5([H])S(=O)C(C([H])([H])[H])(C([H])([H])[H])C6([H])C([H])([H])C([H])([H])C7(C([H])([H])[H])C([H])([H])C8([H])C([H])([H])C([H])([H])C9(C([H])([H])[H])C([H])([H])OC([H])(OC2(OC([H])([H])[H])C([H])([H])[H])C4(OC9(O[H])C8([H])OC2([H])C([H])([H])C([H])(c4c([H])oc([H])c4[H])C(C([H])([H])[H])(C2([H])[H])C13C([H])([H])[H])C56C7([H])[H],False
34,0,2,34:0:2,-1.39348,[H]OC1([H])C2([H])C([H])([H])OC3(O[H])C([H])([H])C([H])([H])C4([H])C5([H])S(=O)C(C([H])([H])[H])(C([H])([H])[H])C6([H])C([H])([H])C([H])([H])C7(C([H])([H])[H])C([H])([H])C8([H])C([H])([H])C([H])([H])C9(C([H])([H])[H])C([H])([H])OC([H])(OC2(OC([H])([H])[H])C([H])([H])[H])C4(OC9(O[H])C8([H])OC2([H])C([H])([H])C([H])(c4c([H])oc([H])c4[H])C(C([H])([H])[H])(C2([H])[H])C13C([H])([H])[H])C56C7([H])[H],False
39,0,0,39:0:0,-3.9264,[H]OC1([H])C(=O)C2(C([H])([H])[H])C(O[H])(C(=O)C([H])([H])OC([H])([H])[H])C([H])=C([H])C2(O[H])C23OC4(OC([H])([H])[H])C(=C([H])OC4([H])C([H])(O[H])C([H])([H])[H])C4([H])C([H])([H])OC(=O)C2(C2([H])C([H])=C([H])C([H])(O[H])C2(C([H])([H])[H])C([H])([H])S(=O)C13[H])C1(OC4([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],True
