ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
19,0,1,19:0:1,-3.32054,[H]c1c([H])c([H])c(C([H])([H])N2C3=[N+]([H])C([H])([H])C([H])([H])N3C([H])([H])c3c(n([H])c4c([H])c([H])c([H])c([H])c34)C2([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],False
19,0,2,19:0:2,-2.72195,[H]c1c([H])c([H])c(C([H])([H])N2C3=[N+]([H])C([H])([H])C([H])([H])N3C([H])([H])c3c(n([H])c4c([H])c([H])c([H])c([H])c34)C2([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],False
20,0,0,20:0:0,-3.87932,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(C(=O)N1c4nc([N+](=O)[O-])c([H])n4C([H])([H])C([H])([H])C1([H])[H])(C3([H])[H])C2([H])[H],True
20,0,1,20:0:1,-3.56207,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(C(=O)N1c4nc([N+](=O)[O-])c([H])n4C([H])([H])C([H])([H])C1([H])[H])(C3([H])[H])C2([H])[H],False
20,0,2,20:0:2,-2.60609,[H]OC12C([H])([H])C3([H])C([H])([H])C([H])(C1([H])[H])C([H])([H])C(C(=O)N1c4nc([N+](=O)[O-])c([H])n4C([H])([H])C([H])([H])C1([H])[H])(C3([H])[H])C2([H])[H],False
21,0,0,21:0:0,-3.34456,[H]c1c2c(c([H])c3c1C1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])C1([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C31[H])OC([H])([H])O2,True
21,0,1,21:0:1,-3.25911,[H]c1c2c(c([H])c3c1C1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])C1([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C31[H])OC([H])([H])O2,False
21,0,2,21:0:2,-2.96361,[H]c1c2c(c([H])c3c1C1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])C1([H])C([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C31[H])OC([H])([H])O2,False
22,0,0,22:0:0,-3.65024,[H]c1nc2c(OC([H])([H])C3([N+]([H])([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],True
22,0,1,22:0:1,-3.5195,[H]c1nc2c(OC([H])([H])C3([N+]([H])([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],False
22,0,2,22:0:2,-2.83367,[H]c1nc2c(OC([H])([H])C3([N+]([H])([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],False
22,1,0,22:1:0,-3.02772,[H]c1nc2c(OC([H])([H])C3(N([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],True
