ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
44,0,1,44:0:1,-2.22464,[H]OC([H])(C([H])([H])[H])C([H])([H])C1([H])OC2([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C2(C([H])([H])[H])C([H])(O[H])C2(O[H])OC([H])([H])C4(O[H])C25S(=O)C([H])(C2(C([H])([H])[H])OC2([H])C4(C([H])([H])[H])C13[H])C12C([H])([H])C(C([H])([H])[H])(C1([H])[H])C5(O[H])C1(C(=C([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])C2([H])OC([H])([H])[H],False
44,0,2,44:0:2,-1.95347,[H]OC([H])(C([H])([H])[H])C([H])([H])C1([H])OC2([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C2(C([H])([H])[H])C([H])(O[H])C2(O[H])OC([H])([H])C4(O[H])C25S(=O)C([H])(C2(C([H])([H])[H])OC2([H])C4(C([H])([H])[H])C13[H])C12C([H])([H])C(C([H])([H])[H])(C1([H])[H])C5(O[H])C1(C(=C([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])C2([H])OC([H])([H])[H],False
50,0,0,50:0:0,-3.20025,[H]OC([H])([H])C(=C([H])[H])C1([H])C(=O)C2(O[H])C(=O)C3(C([H])([H])[H])C([H])([H])C45C([H])([H])C([H])([H])C(C([H])([H])[H])(S(=O)C6([H])C7([H])C([H])([H])OC([H])(O[H])C7([H])C7(OC([H])([H])C64C([H])(O[H])C3([H])O[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C75[H])C2([H])C1([H])[H],True
50,0,1,50:0:1,-3.17287,[H]OC([H])([H])C(=C([H])[H])C1([H])C(=O)C2(O[H])C(=O)C3(C([H])([H])[H])C([H])([H])C45C([H])([H])C([H])([H])C(C([H])([H])[H])(S(=O)C6([H])C7([H])C([H])([H])OC([H])(O[H])C7([H])C7(OC([H])([H])C64C([H])(O[H])C3([H])O[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C75[H])C2([H])C1([H])[H],False
50,0,2,50:0:2,-2.69427,[H]OC([H])([H])C(=C([H])[H])C1([H])C(=O)C2(O[H])C(=O)C3(C([H])([H])[H])C([H])([H])C45C([H])([H])C([H])([H])C(C([H])([H])[H])(S(=O)C6([H])C7([H])C([H])([H])OC([H])(O[H])C7([H])C7(OC([H])([H])C64C([H])(O[H])C3([H])O[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C75[H])C2([H])C1([H])[H],False
57,4,0,57:4:0,-1.90811,[H]OC12C(=O)C(C([H])([H])[H])(C([H])([H])[H])C1([H])C1([H])OC34OC(C([H])=C([H])[H])(C([H])([H])[H])C5([H])C([H])([H])C([H])([H])C6([H])S(=O)C(O[H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])C7=C([H])OC(OC([H])([H])[H])(C([H])([H])[H])C([H])=C7[H])C(O[H])(C7([H])C2(O[H])C(C([H])([H])[H])(C([H])([H])[H])C57O[H])C6(C([H])([H])C([H])([H])C2(C([H])([H])[H])OC32[H])C1(O[H])C([H])=C([H])C([H])=C4[H],True
57,4,1,57:4:1,-1.76164,[H]OC12C(=O)C(C([H])([H])[H])(C([H])([H])[H])C1([H])C1([H])OC34OC(C([H])=C([H])[H])(C([H])([H])[H])C5([H])C([H])([H])C([H])([H])C6([H])S(=O)C(O[H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])C7=C([H])OC(OC([H])([H])[H])(C([H])([H])[H])C([H])=C7[H])C(O[H])(C7([H])C2(O[H])C(C([H])([H])[H])(C([H])([H])[H])C57O[H])C6(C([H])([H])C([H])([H])C2(C([H])([H])[H])OC32[H])C1(O[H])C([H])=C([H])C([H])=C4[H],False
57,4,2,57:4:2,-1.741,[H]OC12C(=O)C(C([H])([H])[H])(C([H])([H])[H])C1([H])C1([H])OC34OC(C([H])=C([H])[H])(C([H])([H])[H])C5([H])C([H])([H])C([H])([H])C6([H])S(=O)C(O[H])(C([H])([H])[H])C([H])(OC(=O)C([H])([H])C7=C([H])OC(OC([H])([H])[H])(C([H])([H])[H])C([H])=C7[H])C(O[H])(C7([H])C2(O[H])C(C([H])([H])[H])(C([H])([H])[H])C57O[H])C6(C([H])([H])C([H])([H])C2(C([H])([H])[H])OC32[H])C1(O[H])C([H])=C([H])C([H])=C4[H],False
58,0,0,58:0:0,-2.7551,[H]OC1([H])C2([H])C3(O[H])C([H])(O[H])C(O[H])(C([H])([H])[H])C1(O[H])C([H])(O[H])C1(O[H])C([H])([H])C4([H])C([H])([H])C(O[H])(C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C3(C([H])([H])OC(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C2([H])S(=O)C4([H])C3(C([H])([H])[H])C([H])([H])C21C([H])(O[H])C([H])([H])C3([H])O[H],True
58,0,1,58:0:1,-2.7331,[H]OC1([H])C2([H])C3(O[H])C([H])(O[H])C(O[H])(C([H])([H])[H])C1(O[H])C([H])(O[H])C1(O[H])C([H])([H])C4([H])C([H])([H])C(O[H])(C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C3(C([H])([H])OC(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C2([H])S(=O)C4([H])C3(C([H])([H])[H])C([H])([H])C21C([H])(O[H])C([H])([H])C3([H])O[H],False
